name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
Stargazer,Rainbow,1976,0.35,0.7,0.17,0,0.95,0.01,1,0.77,0.7,0.11,0.81,4,0.48,Old Rock
New Hot Nights,Luger Boa,2011,0.15,0.12,0.61,0.01,0.92,0,0.18,0.14,0.82,0.06,0.57,4,0.54,Modern Rock
Be-Bop-A-Lula,Peter & Freddy,1975,0.1,0,0.47,0.03,0.65,0,0,0.35,0.67,0.25,0.69,4,0.74,Old Rock
"New York, New York",Ryan Adams,2001,0.15,0.57,0.53,0.06,0.81,0,0.82,0.16,0.71,0.07,0.49,4,0.41,Sweet Rock
Smalltown Boy,Bronski Beat,1984,0.2,0.86,0.69,0.29,0.58,0.01,0.45,0.11,0.64,0.05,0.62,4,0.95,Sweet Rock
Des Etoiles Electroniques,Stereolab,1994,0.13,0.24,0.26,0.67,0.1,0.14,0.18,0.08,0.45,0.06,0.84,3,0.51,Sweet Rock
Armed and Ready - 2009 Remaster,Michael Schenker Group,1980,0.17,0.57,0.33,0,0.94,0.01,0.82,0.07,0.72,0.15,0.79,4,0.78,Old Rock
All By Myself,Eric Carmen,1975,0.29,0.76,0.38,0.83,0.37,0.84,0.64,0.14,0.68,0.06,0.53,4,0.11,Old Rock
Celebrated Summer,HÃ¼sker DÃ¼,1985,0.16,0.39,0.29,0.08,0.93,0.08,0.64,0.38,0.66,0.11,0.46,4,0.19,Sweet Rock
The Kids Are Back,Twisted Sister,1983,0.13,0.65,0.56,0,0.84,0,0,0.21,0.82,0.24,0.63,4,0.55,Sweet Rock
Wicked Game,Giant Drag,2005,0.17,0.36,0.59,0.61,0.44,0,0.82,0.11,0.73,0.12,0.56,4,0.34,Modern Rock
Astronaut,the feelers,2001,0.16,0.2,0.39,0.01,0.91,0,0.64,0.08,0.84,0.08,0.74,4,0.53,Sweet Rock
Even In The Quietest Moments,Supertramp,1977,0.26,0.61,0.44,0.34,0.6,0,0.64,0.12,0.73,0.05,0.61,4,0.48,Old Rock
"Ain't You Wealthy, Ain't You Wise?","Bonnie ""Prince"" Billy",2003,0.17,0.2,0.68,0.92,0.13,0.03,0.27,0.09,0.39,0.06,0.49,3,0.28,Modern Rock
I'm Outta Time,Oasis,2008,0.17,0.55,0.43,0,0.62,0.05,0.36,0.42,0.79,0.05,0.36,4,0.08,Modern Rock
"The Celtic Soul Brothers (More, Please, Thank You)",Dexys Midnight Runners,1982,0.13,0.45,0.62,0.04,0.69,0,0.18,0.17,0.75,0.18,0.42,4,0.67,Sweet Rock
Am I Ever Gonna See Your Face Again - Live,The Angels,1988,0.17,0.51,0.21,0,0.95,0,0.82,0.9,0.76,0.11,0.85,4,0.39,Sweet Rock
Jackson Cage,Bruce Springsteen,1980,0.12,0.48,0.41,0.08,0.91,0,0.82,0.22,0.74,0.12,0.64,4,0.71,Old Rock
Dizzy Miss Lizzy,Larry Williams,1959,0.09,0.37,0.6,0.59,0.8,0,0.27,0.08,0.66,0.05,0.63,4,0.98,Old Rock
Taxman - Remastered 2009,The Beatles,1966,0.1,0.73,0.48,0.01,0.6,0,0.64,0.31,0.7,0.14,0.61,4,0.79,Old Rock
